"Titre","Description","Date","Cote","Fichier tif - 300 dpi","Fichier jpg - 200 dpi","Mention de crédits"
"Incinérateur Des Carrières (à l'arrière des écuries du 1500 rue des Carrières) ","S/O","Décennie 1930","VM94,SY,SS1,SSS17,D89","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z90-3.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z90-3.jpg","Archives de la Ville de Montréal"
"Caserne de pompiers no 30 (ancien hôtel de ville de Saint-Louis - 5, rue Laurier Ouest)","S/O","Décennie 1930","VM94,SY,SS1,SSS17,D92","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z93-B.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z93-B.jpg","Archives de la Ville de Montréal"
"Jeunes mères et leur enfant dans une clinique","S/O",1932,"VM94,SY,SS1,SSS17,D95,P4","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z96-4.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z96-4.jpg","Archives de la Ville de Montréal"
"Reconstruction de l'hôtel de ville de Montréal","Opérations de nettoyage et de reconstruction de l'hôtel de ville de Montréal après l'incendie de la nuit du 3 au 4 mars 1922.",1922,"VM94,SY,SS1,SSS17,D97","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z98-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z98-1.jpg","Archives de la Ville de Montréal"
"Chasse-neige du Département de la Voirie (Division Nord) tiré par un cheval","S/O","Décennie 1930","VM94,SY,SS1,SSS17,D98","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z99-1B.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z99-1B.jpg","Archives de la Ville de Montréal"
"Chasse-neige du Département de la Voirie (Division Nord) tiré par un cheval","S/O","Décennie 1930","VM94,SY,SS1,SSS17,D98","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z99-2B.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z99-2B.jpg","Archives de la Ville de Montréal"
"Chasse-neige du Département de la Voirie (Division Nord) tiré par un cheval","S/O","Décennie 1930","VM94,SY,SS1,SSS17,D98","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z99-4B.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z99-4B.jpg","Archives de la Ville de Montréal"
"Marché Saint-Laurent (aujourd'hui démoli - 1180, boulevard Saint-Laurent)","S/O","Décennie 1930","VM94,SY,SS1,SSS17,D99","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z100.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z100.jpg","Archives de la Ville de Montréal"
"Marché Maisonneuve (4375, rue Ontario Est, face au boulevard Morgan)","Construit en 1912 et 1914.","Décennie 1930","VM94,SY,SS1,SSS17,D100","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z101.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z101.jpg","Archives de la Ville de Montréal"
"Campagne de prévention dans une école primaire","S/O",13-mai-32,"VM94,SY,SS1,SSS17,D106,P7","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z107-7.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z107-7.jpg","Archives de la Ville de Montréal"
"Banque de Montréal sur la  Place d'Armes (119, rue St-Jacques)","Construite entre 1845 et 1847.",30-mars-36,"VM94,SY,SS1,SSS17,D108","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z109-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z109-1.jpg","Archives de la Ville de Montréal"
"Laiterie Mount Royal Dairies (1200, avenue Papineau)","S/O",30-mars-36,"VM94,SY,SS1,SSS17,D109","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z110-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z110-1.jpg","Archives de la Ville de Montréal"
"Brasserie Molson (1590, rue Notre-Dame Est)","On y aperçoit la rue Notre-Dame vers l'est et la structure du pont Jacques-Cartier.","1er avril 1936","VM94,SY,SS1,SSS17,D110","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z111.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z111.jpg","Archives de la Ville de Montréal"
"Eglise Saint-Pierre Saint-Pierre-Apôtre (1201, rue de la Visitation)","S/O","1er avril 1936","VM94,SY,SS1,SSS17,D112","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z113.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z113.jpg","Archives de la Ville de Montréal"
"Pharmacie Montréal (916, rue Ste-Catherine Est)","S/O","1er avril 1936","VM94,SY,SS1,SSS17,D114","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z115.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z115.jpg","Archives de la Ville de Montréal"
"Magasin Metropolitain Stores (5637, avenue du Parc)","S/O","1er avril 1936","VM94,SY,SS1,SSS17,D117","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z118.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z118.jpg","Archives de la Ville de Montréal"
"Cinéma Rialto (5723, avenue du Parc)","S/O","1er avril 1936","VM94,SY,SS1,SSS17,D118","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z119.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z119.jpg","Archives de la Ville de Montréal"
"Ecole des Hautes Études Commerciales (devenu Centre d’archives de Montréal de BAnQ - 535, rue Vitré – devenu rue Viger).","S/O",08-avr.-36,"VM94,SY,SS1,SSS17,D119","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z120.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z120.jpg","Archives de la Ville de Montréal"
"Hôpital Saint-Luc (devenu CHUM - 1058, rue Saint-Denis) ","S/O",08-avr.-36,"VM94,SY,SS1,SSS17,D120","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z121.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z121.jpg","Archives de la Ville de Montréal"
"Cinéma Château (6956, rue Saint-Denis, à l'angle de la rue Bélanger)","Construit en 1931.",08-avr.-36,"VM94,SY,SS1,SSS17,D124","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z125.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z125.jpg","Archives de la Ville de Montréal"
"Institut des sourds et muets (7400, boulevard Saint-Laurent)","S/O",08-avr.-36,"VM94,SY,SS1,SSS17,D125","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z126.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z126.jpg","Archives de la Ville de Montréal"
"Young Men's Christian Association (YMCA) (5550, avenue du Parc, à l'angle de la rue St-Viateur)","On y voit un espace de stationnement réservé aux taxis de la compagnie Diamond sur la rue Saint-Viateur.",08-avr.-36,"VM94,SY,SS1,SSS17,D126","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z127.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z127.jpg","Archives de la Ville de Montréal"
"Sir Mortimer-B. Davis Memorial Building (265, rue Mont-Royal Ouest, à l'angle de la rue Jeanne Mance)","Édifice occupé par The Young Men's Hebrew Association (YMHA)",08-avr.-36,"VM94,SY,SS1,SSS17,D127","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z128.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z128.jpg","Archives de la Ville de Montréal"
"Basilique Notre-Dame (116, rue Notre-Dame Ouest)","Au premier plan, on remarque la place d'Armes, le monument Maisonneuve ainsi que l'entrée des deux vespasiennes de la place.",08-avr.-36,"VM94,SY,SS1,SSS17,D128","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z129.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z129.jpg","Archives de la Ville de Montréal"
"Gare Jean-Talon (7255, rue Hutchison)","S/O",09-avr.-36,"VM94,SY,SS1,SSS17,D131","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z132-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z132-1.jpg","Archives de la Ville de Montréal"
"Usine de nettoyage The New Method Washing Limited (6455, rue Christophe-Colomb)","S/O",09-avr.-36,"VM94,SY,SS1,SSS17,D132","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z133-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z133-1.jpg","Archives de la Ville de Montréal"
"Stade Delorimier (2101-2109, rue Ontario Est)","S/O",09-avr.-36,"VM94,SY,SS1,SSS17,D134","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z135-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z135-1.jpg","Archives de la Ville de Montréal"
"Bain Maisonneuve (devenu bain Morgan - 1875, boulevard Morgan)","Construit entre 1914 et 1916.",09-avr.-36,"VM94,SY,SS1,SSS17,D135","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z136.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z136.jpg","Archives de la Ville de Montréal"
"Marché Maisonneuve (4445, rue Ontario Est)","Arrière du marché construit en 1912 et 1914, prise de la voie ferrée.",09-avr.-36,"VM94,SY,SS1,SSS17,D136","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z137-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z137-1.jpg","Archives de la Ville de Montréal"
"Musée des Beaux-Arts de Montréal (1379, rue Sherbrooke Ouest)","Construit en 1912.",26-mars-36,"VM94,SY,SS1,SSS17,D141","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z142-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z142-1.jpg","Archives de la Ville de Montréal"
"Medical Art Building (1538, rue Sherbrooke Ouest, à l'angle de la rue Guy)","S/O",26-mars-36,"VM94,SY,SS1,SSS17,D142","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z143-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z143-1.jpg","Archives de la Ville de Montréal"
